source_id,guid,doc_id,scale,raw_text,text,lexical,structural,other,label_type,label,set,label_mapped_to_big5,facet
IPIP,ihavemanydifferenthobbies,Q1103,EPQ,I have many different hobbies,I have many different hobbies.,0,0,0,soft,other,train,extraversion,epq:e
IPIP,istoptothinkthingsoverbeforedoinganything,Q1104,EPQ,I stop to think things over before doing anything,I stop to think things over before doing anything.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,mymoodoftengoesupanddown,Q1105,EPQ,I my mood often goes up and down,My mood often goes up and down.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,ioftentakenoticeofwhatpeoplethink,Q1106,EPQ,I often take notice of what people think,I often take notice of what people think.,0,0,0,soft,other,train,agreeableness,epq:p
IPIP,iamatalkativeperson,Q1107,EPQ,I am a talkative person,I am a talkative person.,0,0,0,soft,other,train,extraversion,epq:e
IPIP,ibeingindebtisworrisometome,Q1108,EPQ,I being in debt is worrisome to me,Being in debt is worrisome to me.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,isometimesfeeljustmiserablefornoreason,Q1109,EPQ,I sometimes feel just miserable for no reason,I sometimes feel just miserable for no reason.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,igivemoneytocharities,Q1110,EPQ,I give money to charities,I give money to charities.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,iamratherlively,Q1111,EPQ,I am rather lively,I am rather lively.,0,0,0,soft,other,train,extraversion,epq:e
IPIP,itwouldupsetmealottoseeachildoranimalsuffer,Q1112,EPQ,I it would upset me a lot to see a child or animal suffer,It would upset me a lot to see a child or animal suffer.,0,0,0,soft,other,test,conscientiousness,epq:p
IPIP,ioftenworryaboutthingsishouldnothavedoneorsaid,Q1113,EPQ,I often worry about things i should not have done or said,I often worry about things I should not have done or said.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,idislikepeoplewhodonotknowhowtobehavethemselves,Q1114,EPQ,I dislike people who don't know how to behave themselves,I dislike people who do not know how to behave themselves.,0,0,0,soft,other,test,conscientiousness,epq:p
IPIP,icanusuallyletmyselfgoandenjoyalivelyparty,Q1115,EPQ,I can usually let myself go and enjoy a lively party,I can usually let myself go and enjoy a lively party.,0,0,0,soft,other,train,extraversion,epq:e
IPIP,iamanirritableperson,Q1116,EPQ,I am an irritable person,I am an irritable person.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,peopleshouldalwaysrespectthelaw,Q1117,EPQ,I people should always respect the law,People should always respect the law.,0,0,0,soft,other,test,conscientiousness,epq:p
IPIP,ienjoymeetingnewpeople,Q1118,EPQ,I enjoy meeting new people,I enjoy meeting new people.,0,0,0,soft,other,test,extraversion,epq:e
IPIP,goodmannersareveryimportant,Q1119,EPQ,I good manners and cleanliness matter to me,Good manners are very important.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,myfeelingsareeasilyhurt,Q1120,EPQ,I my feelings are easily hurt,My feelings are easily hurt.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,itendtokeepinthebackgroundonsocialoccasions,Q1121,EPQ,I tend to keep in the background on social occasions,I tend to keep in the background on social occasions.,0,0,0,soft,other,test,extraversion,epq:e
IPIP,iwouldtakedrugswhichmayhavestrangeordangerouseffects,Q1122,EPQ,I would take drugs which may have strange or dangerous effects,I would take drugs which may have strange or dangerous effects.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,ioftenfeelfedup,Q1123,EPQ,I often feel fed-up,I often feel fed up.,0,0,0,soft,other,train,neuroticism,epq:n
IPIP,iprefertogomyownwayratherthanactbytherules,Q1125,EPQ,I prefer to go my own way rather than act by the rules,I prefer to go my own way rather than act by the rules.,0,0,0,soft,other,train,conscientiousness,epq:p
IPIP,ienjoyhurtingpeopleilove,Q1126,EPQ,I enjoy hurting people i love,I enjoy hurting people I love.,0,0,0,soft,other,train,agreeableness,epq:p
IPIP,iamoftentroubledbyfeelingsofguilt,Q1127,EPQ,I am often troubled by feelings of guilt,I am often troubled by feelings of guilt.,0,0,0,soft,other,train,neuroticism,epq:n
